#           M   M*dndlnm_    dndlnm_j     f(sig)_  lnsigma_j    neff_j       ngtm_       nltm_   sigma_j
  7.94328e+11 2.95643e+09 3.72193e-03 2.80372e-01  -0.717456 -2.155735 3.90841e-03 8.10069e+05  2.049214
  8.91251e+11 2.98479e+09 3.34899e-03 2.80337e-01  -0.701178 -2.147530 3.50137e-03 8.10069e+05  2.016126
  1.00000e+12 3.00889e+09 3.00889e-03 2.80246e-01  -0.684750 -2.140366 3.13538e-03 8.10069e+05  1.983275
  1.12202e+12 3.03522e+09 2.70514e-03 2.80094e-01  -0.668180 -2.132373 2.80646e-03 8.10069e+05  1.950685
  1.25893e+12 3.06222e+09 2.43240e-03 2.79875e-01  -0.651451 -2.123973 2.51071e-03 8.10069e+05  1.918321
  1.41254e+12 3.08468e+09 2.18379e-03 2.79584e-01  -0.634571 -2.116627 2.24499e-03 8.10069e+05  1.886214
  1.58489e+12 3.11063e+09 1.96268e-03 2.79215e-01  -0.617540 -2.108018 2.00630e-03 8.10069e+05  1.854361
  1.77828e+12 3.13480e+09 1.76283e-03 2.78761e-01  -0.600341 -2.099623 1.79184e-03 8.10069e+05  1.822741
  1.99526e+12 3.15593e+09 1.58171e-03 2.78215e-01  -0.582992 -2.091775 1.59931e-03 8.10069e+05  1.791391
  2.23872e+12 3.18033e+09 1.42060e-03 2.77569e-01  -0.565478 -2.082623 1.42648e-03 8.10069e+05  1.760289
  2.51189e+12 3.20013e+09 1.27399e-03 2.76816e-01  -0.547793 -2.074401 1.27137e-03 8.10069e+05  1.729432
  2.81838e+12 3.21983e+09 1.14244e-03 2.75948e-01  -0.529952 -2.065773 1.13227e-03 8.10069e+05  1.698852
  3.16228e+12 3.24103e+09 1.02490e-03 2.74955e-01  -0.511934 -2.056230 1.00751e-03 8.10069e+05  1.668515
  3.54813e+12 3.25582e+09 9.17615e-04 2.73829e-01  -0.493745 -2.048022 8.95687e-04 8.10069e+05  1.638441
  3.98107e+12 3.27295e+09 8.22127e-04 2.72561e-01  -0.475390 -2.038562 7.95540e-04 8.10069e+05  1.608641
  4.46684e+12 3.28862e+09 7.36230e-04 2.71139e-01  -0.456847 -2.028890 7.05834e-04 8.10069e+05  1.579087
  5.01187e+12 3.29812e+09 6.58062e-04 2.69553e-01  -0.438133 -2.020355 6.25572e-04 8.10069e+05  1.549811
  5.62341e+12 3.31055e+09 5.88708e-04 2.67793e-01  -0.419240 -2.010203 5.53802e-04 8.10069e+05  1.520805
  6.30957e+12 3.31816e+09 5.25893e-04 2.65847e-01  -0.400152 -2.000662 4.89640e-04 8.10069e+05  1.492051
  7.07946e+12 3.32195e+09 4.69238e-04 2.63704e-01  -0.380891 -1.991392 4.32356e-04 8.10069e+05  1.463588
  7.94328e+12 3.32743e+09 4.18898e-04 2.61352e-01  -0.361435 -1.980636 3.81231e-04 8.10069e+05  1.435388
  8.91251e+12 3.32473e+09 3.73041e-04 2.58777e-01  -0.341782 -1.971329 3.35643e-04 8.10069e+05  1.407454
  1.00000e+13 3.32154e+09 3.32154e-04 2.55971e-01  -0.321949 -1.961048 2.95049e-04 8.10069e+05  1.379814
  1.12202e+13 3.31694e+09 2.95622e-04 2.52917e-01  -0.301905 -1.949962 2.58911e-04 8.10069e+05  1.352433
  1.25893e+13 3.30284e+09 2.62354e-04 2.49606e-01  -0.281667 -1.940555 2.26791e-04 8.10069e+05  1.325337
  1.41254e+13 3.28991e+09 2.32907e-04 2.46026e-01  -0.261233 -1.929348 1.98282e-04 8.10069e+05  1.298530
  1.58489e+13 3.27180e+09 2.06436e-04 2.42162e-01  -0.240579 -1.918252 1.72991e-04 8.10069e+05  1.271986
  1.77828e+13 3.24529e+09 1.82496e-04 2.38009e-01  -0.219731 -1.908290 1.50602e-04 8.10069e+05  1.245741
  1.99526e+13 3.21955e+09 1.61360e-04 2.33552e-01  -0.198669 -1.896284 1.30808e-04 8.10069e+05  1.219778
  2.23872e+13 3.18456e+09 1.42249e-04 2.28781e-01  -0.177382 -1.885513 1.13331e-04 8.10069e+05  1.194087
  2.51189e+13 3.14450e+09 1.25185e-04 2.23696e-01  -0.155896 -1.874514 9.79366e-05 8.10069e+05  1.168705
  2.81838e+13 3.10283e+09 1.10092e-04 2.18281e-01  -0.134178 -1.861881 8.43930e-05 8.10069e+05  1.143597
  3.16228e+13 3.04906e+09 9.64199e-05 2.12536e-01  -0.112236 -1.851370 7.25051e-05 8.10069e+05  1.118777
  3.54813e+13 2.99354e+09 8.43694e-05 2.06463e-01  -0.090082 -1.839117 6.20981e-05 8.10069e+05  1.094264
  3.98107e+13 2.93269e+09 7.36657e-05 2.00054e-01  -0.067681 -1.826280 5.30008e-05 8.10069e+05  1.070024
  4.46684e+13 2.85993e+09 6.40258e-05 1.93320e-01  -0.045059 -1.815528 4.50747e-05 8.10069e+05  1.046089
  5.01187e+13 2.78653e+09 5.55986e-05 1.86267e-01  -0.022206 -1.802228 3.81885e-05 8.10069e+05  1.022455
  5.62341e+13 2.70442e+09 4.80921e-05 1.78898e-01   0.000904 -1.789639 3.22196e-05 8.10069e+05  0.999097
  6.30957e+13 2.61358e+09 4.14224e-05 1.71241e-01   0.024234 -1.777996 2.70668e-05 8.10069e+05  0.976057
  7.07946e+13 2.52150e+09 3.56172e-05 1.63307e-01   0.047818 -1.763766 2.26320e-05 8.10069e+05  0.953308
  7.94328e+13 2.41828e+09 3.04443e-05 1.55118e-01   0.071661 -1.751783 1.88292e-05 8.10069e+05  0.930847
  8.91251e+13 2.31129e+09 2.59331e-05 1.46717e-01   0.095731 -1.738688 1.55839e-05 8.10069e+05  0.908708
  1.00000e+14 2.20140e+09 2.20140e-05 1.38122e-01   0.120077 -1.723907 1.28238e-05 8.10069e+05  0.886852
  1.12202e+14 2.08110e+09 1.85479e-05 1.29383e-01   0.144678 -1.712153 1.04889e-05 8.10069e+05  0.865301
  1.25893e+14 1.96097e+09 1.55766e-05 1.20549e-01   0.169524 -1.697566 8.52451e-06 8.10069e+05  0.844066
  1.41254e+14 1.83686e+09 1.30040e-05 1.11656e-01   0.194662 -1.682833 6.87928e-06 8.10069e+05  0.823113
  1.58489e+14 1.70649e+09 1.07672e-05 1.02776e-01   0.220048 -1.670589 5.51091e-06 8.10069e+05  0.802480
  1.77828e+14 1.57868e+09 8.87760e-06 9.39598e-02   0.245706 -1.654760 4.38006e-06 8.10069e+05  0.782152
